accelerometer (x),accelerometer (y),accelerometer (z)
-0.01508543451562867,-0.056333612598784735,-9.805127099472816
-0.015130656336357117,-0.05627358464979121,-9.804179723845603
-0.015140035830054502,-0.0562969199667092,-9.803514864254012
-0.015145911453955057,-0.05633889384132809,-9.803105604238525
-0.01511797456518288,-0.05632049919010763,-9.803227268088353
-0.015056806093973127,-0.05631656882696498,-9.803010990406715
-0.015023706149838353,-0.05632096121120272,-9.80256113724617
-0.014982296170780226,-0.05628690632446348,-9.802997791618479
-0.014946994937900972,-0.05632393726101619,-9.803448477849697
-0.014934076389168528,-0.056401329430015794,-9.803912460325957
-0.014938319649214426,-0.05637576099003473,-9.804547196196438
-0.014957419281607598,-0.05637844870842961,-9.80506142875575
-0.014994101836484345,-0.056418685100017914,-9.805892356345263
-0.015009501588155484,-0.05640784530761196,-9.806463952162153
-0.014989836128867229,-0.056440182255040904,-9.806635923950331
-0.015034895880712464,-0.056479754260746626,-9.80634056428235
-0.015114631542321504,-0.056537281959704866,-9.806220557384144
-0.015204135068624116,-0.05659568221574802,-9.806598162137673
-0.01527957393202703,-0.05658516934358796,-9.805851389899736
-0.01528096293833142,-0.056595060259950994,-9.80528133803745
-0.015210598323216265,-0.05657502420300674,-9.805688968546448
-0.015163842031568809,-0.05653679540732391,-9.805909923834138
-0.015141296813084104,-0.05648181472489335,-9.806679176201701
-0.015087558712091529,-0.056374247165286606,-9.806863194921863
-0.015021042985018312,-0.056286132212824046,-9.806320517855214
-0.015003217395567156,-0.05628055554388261,-9.80601178073644
-0.015083334960102066,-0.05637454914093726,-9.806350372407671
-0.015205665506555074,-0.05649712639818892,-9.806344779289219
-0.015261713979747989,-0.056570526095157884,-9.80625181671064
-0.015317517518923707,-0.05650793324719545,-9.806830954039821
-0.0153857823721337,-0.0563841369023181,-9.80673877431577
-0.01542522600632409,-0.056357926486189605,-9.806386304202308
-0.01548532534815952,-0.056366070391906185,-9.805890362533297
-0.015489326184355258,-0.05632630791699007,-9.806500113969177
-0.015472406555175193,-0.0562924671135422,-9.808184430270012
-0.015443380704020276,-0.05628026060089028,-9.808769147338227
-0.015387566469798353,-0.05628173982358287,-9.808903909392734
-0.015344647915401029,-0.05636787298722811,-9.809020140767915
-0.015339692531998543,-0.05647947070071807,-9.808949272931358
-0.015405476209258867,-0.05657473790445937,-9.809247983486122
-0.0154869069748307,-0.05658883341323359,-9.809528648546934
-0.01549300652541249,-0.056520089539779356,-9.809107190094828
-0.015475814514776604,-0.056467789890929265,-9.808588450302874
-0.015504069935467175,-0.05637414235397037,-9.808615683153446
-0.015578691483114629,-0.05630259142556407,-9.809250067444303
-0.015663599933056757,-0.05634558795120549,-9.809574011658125
-0.015718539300282833,-0.05641466580076982,-9.80931767555579
-0.015761081546835937,-0.056428324632063806,-9.809247476451139
-0.0157923829218645,-0.0564410586408706,-9.809227021866327
-0.015832089933930843,-0.05646625820640844,-9.809532003700692
