accelerometer (x),accelerometer (y),accelerometer (z),magnetometer (x),magnetometer (y),magnetometer (z)
-0.014913579282542245,-0.056028522046602955,-9.807147722367827,-0.009666716067979704,-0.21618454613057783,0.4292850970687182
-0.014931300974444919,-0.05606178855873666,-9.806841618649111,-0.0096641267730206,-0.21618186942727577,0.42928879077390236
-0.014884745506163248,-0.056076496646481226,-9.806588727383565,-0.009666474906510986,-0.2161827043770958,0.4292886103554553
-0.014862969509947945,-0.05601906913779248,-9.806030009521917,-0.009668588226652333,-0.21618345583193382,0.42928844797885296
-0.014873492281652256,-0.05599158244211921,-9.805349970758446,-0.009692214710816313,-0.21618250791471794,0.4292958388472427
-0.014897227459059751,-0.055965491217977344,-9.806014524311264,-0.009713478546563896,-0.21618165478922363,0.42930249062879344
-0.014893071253401568,-0.05592294411289739,-9.80699161268214,-0.00973261599873672,-0.21618088697627874,0.4293084772321891
-0.014855800958036885,-0.05589394961956905,-9.807169278653916,-0.009735935990975829,-0.21618120326312504,0.4292956440353374
-0.014854444963379612,-0.05584576154214271,-9.807270431690625,-0.009738923983991026,-0.21618148792128672,0.4292840941581708
-0.014845469483353168,-0.055831601882651516,-9.806979618227373,-0.00972055513610233,-0.2161804194004021,0.42928170119228204
-0.014788628645595209,-0.05589500123811594,-9.806144632478857,-0.009704023173002504,-0.21617945773160596,0.42927954752298214
-0.014815306147016816,-0.05592925129093034,-9.805687735301527,-0.00968914440621266,-0.21617859222968944,0.4292776092206122
-0.014866756859200154,-0.055884207089540665,-9.806020298441297,-0.00969728196873661,-0.21616715745759482,0.4292876336855902
-0.014902422745425685,-0.05584514370987746,-9.806455217754882,-0.009704605775008167,-0.21615686616270965,0.4292966557040704
-0.01496090944380084,-0.05581423700219029,-9.806939151545802,-0.00968616744079849,-0.21615377903851174,0.4292841225112879
-0.014925643925496083,-0.05580346874656257,-9.80727131366173,-0.009669572940009781,-0.21615100062673362,0.42927284263778365
-0.014879292493320366,-0.05581082662035383,-9.80739506959414,-0.009654637889299943,-0.2161485000561333,0.4292626907516298
-0.014869121755465162,-0.055842556270345685,-9.80817955326583,-0.00966429910397603,-0.21616555846726804,0.4292862650831441
-0.014887619145066786,-0.05588036204155365,-9.808670821114298,-0.009672994197184509,-0.2161809110372893,0.4293074819815069
