quaternion (w),quaternion (x),quaternion (y),quaternion (z),gyroscope bias (x),gyroscope bias (y),gyroscope bias (z),magnetometer bias (x),magnetometer bias (y),magnetometer bias (z),time
-0.40013032084364597,-0.06877468561888321,-0.017817444639620723,-0.9137003379807291,0.0034390876219642305,-0.008841433995176794,-0.0001078019888827151,2.06974431531582e-05,-0.00012346873470994062,1.3576193884538398e-06,64.94
-0.399829217211023,-0.06959545506438479,-0.017240615756868066,-0.9137810628739937,0.003769721763926547,-0.00942581647174551,-0.00011165078023909511,2.1801158453540247e-05,-0.00012800309451293523,1.357877001815253e-06,65.94
-0.39976212414039375,-0.06785529097981564,-0.01723934238919797,-0.9139413048236703,0.003769721763926547,-0.00942581647174551,-0.00011165078023909511,2.1801158453540247e-05,-0.00012800309451293523,1.357877001815253e-06,65.94
-0.4050914171602821,-0.06753289546290629,-0.01543802792579659,-0.9116479139817263,0.004113053509922274,-0.010050121556555089,-0.00011463316059891325,2.299048826022358e-05,-0.00013269767419107583,1.3422419214092998e-06,66.94
-0.40501960011099136,-0.06680855484263575,-0.0159732102318083,-0.9117239697850777,0.004113053509922274,-0.010050121556555089,-0.00011463316059891325,2.299048826022358e-05,-0.00013269767419107583,1.3422419214092998e-06,66.94
-0.41025026120756414,-0.06636967989362315,-0.014191252407237634,-0.9094440043922758,0.004459246877571107,-0.0106926623973193,-0.00011724326659405857,2.4214958038250452e-05,-0.00013740169377528827,1.3197812545490313e-06,67.94
-0.41007656561350114,-0.06585358566447458,-0.014038013902909745,-0.9095622297322099,0.004459246877571107,-0.0106926623973193,-0.00011724326659405857,2.4214958038250452e-05,-0.00013740169377528827,1.3197812545490313e-06,67.94
-0.4171440855242508,-0.06524620176290025,-0.011674491412108507,-0.9064201295855692,0.00479008274271147,-0.011349980383279345,-0.00011789253982225122,2.5485532007248423e-05,-0.00014206817087473642,1.2827024279197414e-06,68.94
-0.4169439415331713,-0.06444997566412237,-0.010984462087181393,-0.9065777913937296,0.00479008274271147,-0.011349980383279345,-0.00011789253982225122,2.5485532007248423e-05,-0.00014206817087473642,1.2827024279197414e-06,68.94
-0.4242358750313296,-0.06420641961111084,-0.009200943041095538,-0.9032257750221029,0.0051055015514348484,-0.01202486531365803,-0.00011615978466284449,2.6792550422553283e-05,-0.0001467017323012647,1.2336677097001803e-06,69.94
-0.42410192230463595,-0.06370340978096546,-0.009702066733919346,-0.9033190493844805,0.0051055015514348484,-0.01202486531365803,-0.00011615978466284449,2.6792550422553283e-05,-0.0001467017323012647,1.2336677097001803e-06,69.94
-0.4306572852651023,-0.06265753041213569,-0.007510862577708055,-0.9003065719376281,0.005407961800067149,-0.012702945861433466,-0.00011361033524342649,2.81321356633288e-05,-0.00015128305115338423,1.1777052932475117e-06,70.94
-0.43027116093715767,-0.06193016234131227,-0.007541128417898477,-0.9005412341699596,0.005407961800067149,-0.012702945861433466,-0.00011361033524342649,2.81321356633288e-05,-0.00015128305115338423,1.1777052932475117e-06,70.94
-0.4359432168183131,-0.06133800261750922,-0.006045034528350657,-0.8978611355340796,0.005689708455267635,-0.01336181693941211,-0.00011013766922676487,2.946693752833458e-05,-0.00015572026422459355,1.1154972249848518e-06,71.94
-0.436137068620156,-0.06057547093431917,-0.006153211800484104,-0.8978180259278832,0.005689708455267635,-0.01336181693941211,-0.00011013766922676487,2.946693752833458e-05,-0.00015572026422459355,1.1154972249848518e-06,71.94
-0.44175992115312834,-0.05953057042570701,-0.005416594953030405,-0.8951396224872892,0.0059830318846797615,-0.014052330137486552,-0.00010621548420329095,3.0892152708571e-05,-0.0001602814113600948,1.0467948530676478e-06,72.94
-0.44174470747677513,-0.058982204171493136,-0.005390609147292854,-0.895183586947589,0.0059830318846797615,-0.014052330137486552,-0.00010621548420329095,3.0892152708571e-05,-0.0001602814113600948,1.0467948530676478e-06,72.94
-0.44976637798170827,-0.056817449916156844,-0.0028978867548214997,-0.8913324771793052,0.006238939468465362,-0.014717223029795173,-0.00010035406371271862,3.234354050233954e-05,-0.00016470871094537452,9.690369280457996e-07,73.94
-0.44976844564474555,-0.05593153340739982,-0.0029734465992936965,-0.8913872152371987,0.006238939468465362,-0.014717223029795173,-0.00010035406371271862,3.234354050233954e-05,-0.00016470871094537452,9.690369280457996e-07,73.94
-0.46199948207203395,-0.05174499136824325,0.001837504054960848,-0.8853674706088545,0.006427224478210527,-0.015355049896113153,-9.053169824846559e-05,3.387123797746625e-05,-0.00016904703213761486,8.741257194902823e-07,74.94
-0.4619654464343413,-0.0511187699539723,0.00163975751510821,-0.8854219947880243,0.006427224478210527,-0.015355049896113153,-9.053169824846559e-05,3.387123797746625e-05,-0.00016904703213761486,8.741257194902823e-07,74.94
-0.475587944977378,-0.04608423448466737,0.0071527657661057545,-0.8784310945464373,0.006534655540902707,-0.015962674751117113,-7.626009340829711e-05,3.5485813488655104e-05,-0.0001732963778573213,7.644085036748698e-07,75.94
-0.4755333620025155,-0.04533609640388367,0.0071165217225026695,-0.8784998663084791,0.006534655540902707,-0.015962674751117113,-7.626009340829711e-05,3.5485813488655104e-05,-0.0001732963778573213,7.644085036748698e-07,75.94
-0.49061367781422655,-0.039495262350436586,0.013057031723533771,-0.8703837414129697,0.0065439712871828435,-0.016538532828527523,-5.658439868889326e-05,3.721931951224328e-05,-0.00017748781491609068,6.39520582873977e-07,76.94
-0.4906592276607128,-0.03861562198346594,0.013000365564886648,-0.8703983838136431,0.0065439712871828435,-0.016538532828527523,-5.658439868889326e-05,3.721931951224328e-05,-0.00017748781491609068,6.39520582873977e-07,76.94
-0.5107472306611003,-0.03351894308764179,0.016974061080856105,-0.8589095575651302,0.006474964178506793,-0.017077631759575003,-3.3415521753712586e-05,3.908567419966648e-05,-0.00018160973168286548,5.0710772034776e-07,77.94
-0.5107645182622316,-0.03268708647570477,0.016850559414251735,-0.8589337692217643,0.006474964178506793,-0.017077631759575003,-3.3415521753712586e-05,3.908567419966648e-05,-0.00018160973168286548,5.0710772034776e-07,77.94
-0.5293582354080398,-0.028809695115263663,0.019905861364194057,-0.8476754194598316,0.006345680586126655,-0.017567893778085413,-8.595931505639057e-06,4.1015768119769687e-05,-0.00018556264016181842,3.7424492776854256e-07,78.94
-0.5292642243318659,-0.027678096626513615,0.019786990418965842,-0.8477746037831525,0.006345680586126655,-0.017567893778085413,-8.595931505639057e-06,4.1015768119769687e-05,-0.00018556264016181842,3.7424492776854256e-07,78.94
