position (x) [m],position (y) [m],position (z) [m],velocity (x) [m/s],velocity (y) [m/s],velocity (z) [m/s],time
-1.580094418509332,-5.926651246195594,0.07524746808935649,-0.26596423402033437,-0.9972694387953259,0.0022042395269375806,23.75199999999869
-1.5811582458274245,-5.930641756957792,0.0752474680917792,-0.26594942502594504,-0.9979859423037808,0.002134634901673207,23.75599999999869
-1.5822224244338654,-5.934633609086877,0.07524746809432542,-0.2661398781945085,-0.9979401222384716,0.002066734674458072,23.75999999999869
-1.5832869550474309,-5.938626804840281,0.07524746809664702,-0.2661254285882154,-0.9986577544634367,0.002001275558615895,23.763999999998692
-1.5843518385602482,-5.942621343416614,0.07524746809905997,-0.26631632782048986,-0.9986115337031896,0.0019373311441151697,23.76799999999869
-1.5854170763468425,-5.946617227251057,0.0752474681011928,-0.2663025654766112,-0.9993303835180734,0.0018759424927355724,23.771999999998688
-1.586482668865469,-5.950614455539936,0.0752474681034962,-0.2664936938365806,-0.9992837609217717,0.0018157801811187284,23.77599999999869
-1.5875486168596817,-5.954613028333328,0.07524746810551602,-0.266480303269852,-1.0000026357740337,0.0017579593013174342,23.77999999999869
-1.588614921584506,-5.958612943969649,0.07524746810765265,-0.26667205914225833,-0.9999551823864419,0.0017014513329233604,23.783999999998688
-1.5896815834270617,-5.96261420291617,0.07524746810957147,-0.26665886213562223,-1.0006742908744868,0.0016470385122385278,23.787999999998686
-1.5907486020064283,-5.966616804694118,0.07524746811162418,-0.2668504275477264,-1.000626598099227,0.0015936595010465993,23.791999999998687
-1.5918159773737925,-5.97062074888439,0.07524746811330692,-0.26683725613440124,-1.0013454970368936,0.001542882692210099,23.79599999999869
-1.592883709032673,-5.974626033720886,0.07524746811516005,-0.2670285733058916,-1.0012969212110863,0.0014933701914351088,23.799999999998686
-1.593951796385038,-5.978632659756159,0.07524746811677155,-0.26701510287658303,-1.0020160964251497,0.0014460282290025969,23.803999999998684
-1.595020238423585,-5.98264062715784,0.075247468118557,-0.26720591639689806,-1.0019676044154617,0.0013995882965220578,23.807999999998685
-1.5960890344941543,-5.98664993739805,0.07524746812013407,-0.2671921188877569,-1.0026875156891177,0.0013548696774138486,23.811999999998687
-1.5971581839897602,-5.990660591334591,0.07524746812185774,-0.26738262891516773,-1.0026394525816653,0.0013108247000409151,23.815999999998684
-1.5982276881488635,-5.994672589413168,0.07524746812327074,-0.26736945063647116,-1.0033595867066571,0.0012688093564265945,23.819999999998682
-1.5992975488034165,-5.998685932092123,0.07524746812483715,-0.2675608766400176,-1.0033117527707058,0.001227681479446181,23.823999999998684
-1.600367767299262,-6.00270062033305,0.0752474681261859,-0.26754837128278725,-1.0040323676926266,0.00118830804873284,23.827999999998685
-1.6014383438631616,-6.006716655579898,0.07524746812769316,-0.2677399106670141,-1.0039852557313405,0.0011495776180920076,23.831999999998683
-1.602509278994746,-6.010734038730638,0.075247468128959,-0.26772765512510427,-1.0047063196384458,0.0011125199155322223,23.83599999999868
-1.603580573650514,-6.014752771509391,0.07524746813040095,-0.26791967275893286,-1.0046600697381567,0.0010759554110965493,23.839999999998682
-1.6046522281785662,-6.018772853966945,0.07524746813159187,-0.26790759126723124,-1.0053811590389345,0.0010409898086356619,23.843999999998683
-1.6057242425772325,-6.022794287525964,0.07524746813291892,-0.26809960806590877,-1.0053356204702726,0.0010066502700124531,23.84799999999868
-1.6067966172566688,-6.026817071414822,0.07524746813397669,-0.2680877316522295,-1.0060563239584281,0.0009741035511658855,23.85199999999868
-1.6078693526428696,-6.0308412052656015,0.07524746813513213,-0.268279961448165,-1.0060106014312495,0.0009425224525155079,23.85599999999868
-1.6089424491527056,-6.034866687967147,0.075247468136081,-0.2682682934698866,-1.0067307493417412,0.0009127049225274946,23.85999999999868
-1.6100159059930053,-6.0388935186095996,0.07524746813718804,-0.26846012667995656,-1.0066845718845483,0.0008835395107231619,23.86399999999868
-1.611089722094743,-6.042921696778347,0.061263425386703506,-0.26844792418900715,-1.007404512489265,-0.11378549483604286,23.867999999998677
-1.6121638967160334,-6.04695122173366,0.061263527835516196,-0.26863938645614793,-1.0073579651673286,-0.1100519204799338,23.87199999999868
-1.61323842898595,-6.0509820944797745,0.061263527728736285,-0.26862674850219825,-1.0080784078898755,-0.1064409273324457,23.87599999999868
-1.6143133174064834,-6.0550143121677795,0.061263527626354286,-0.2688174617645175,-1.0080304361126153,-0.10294878844159028,23.879999999998677
-1.6153885611665122,-6.059047875049824,0.061263527527162624,-0.2688044182498804,-1.0087510049098256,-0.09957053380948049,23.883999999998675
-1.6164641589051683,-6.063082781722433,0.061263527431397694,-0.26899445107814896,-1.0087023313947956,-0.09630358051179,23.887999999998677
-1.6175401099238371,-6.067119033577919,0.06126352733863128,-0.2689810582563204,-1.009423596348054,-0.09314333890898131,23.891999999998678
-1.6186164141138661,-6.071156629753785,0.06126352724909791,-0.26917103675820625,-1.009374491585063,-0.09008751900333116,23.895999999998676
-1.6196930717716258,-6.075195572052981,0.06126352716234808,-0.2691577921215762,-1.0100966580126325,-0.08713164025225145,23.899999999998673
-1.6207700830101555,-6.079235859547022,0.06126352707861853,-0.269347827143235,-1.0100470890077882,-0.08427351299933943,23.903999999998675
-1.621847447199599,-6.083277491657138,0.061263526997435085,-0.26933426757855955,-1.0107689660503243,-0.08150859142823445,23.907999999998676
-1.6229251636854303,-6.087320466855594,0.06126352691904456,-0.26952397533713646,-1.0107186331778277,-0.07883469320053632,23.911999999998674
-1.6240032317468207,-6.091364785139045,0.06126352684309547,-0.26951005535813094,-1.0114405085473483,-0.07624800117870248,23.91599999999867
-1.625081650273064,-6.0954104445911135,0.06126352676979624,-0.2696992077635967,-1.0113892174869263,-0.07374668999338391,23.919999999998673
-1.6261604202644322,-6.0994574446526775,0.061263526698690195,-0.2696857879204639,-1.012110813295268,-0.07132660808551446,23.923999999998674
-1.627239543346337,-6.1035057842877904,0.061263526630089514,-0.26987575303188066,-1.0120590042612108,-0.06898627393797138,23.927999999998672
-1.628319020110164,-6.107555464192742,0.06126352656359899,-0.2698626288816589,-1.0127809482145715,-0.06672217322152706,23.93199999999867
-1.629398850872692,-6.111606483714586,0.061263526499423356,-0.27005275238231624,-1.0127288127075742,-0.06453270111499006,23.93599999999867
-1.6304790366124986,-6.115658845118058,0.061263526437215984,-0.2700401175210003,-1.0134518890283686,-0.062414530956631055,23.939999999998673
-1.631559576655001,-6.119712548209899,0.06126352637723693,-0.27022990373027844,-1.0133996568918977,-0.060366533929486994,23.94399999999867
-1.6326404698993735,-6.1237675934120315,0.06126352631906806,-0.27021671845594886,-1.0141229441747321,-0.05838534297514923,23.947999999998668
-1.633721716327162,-6.127823978942219,0.06126352626293418,-0.27040649543833256,-1.014069820919209,-0.05646958933130214,23.95199999999867
-1.634803316017261,-6.131881705146406,0.06126352620850047,-0.2703933496111548,-1.0147932811740614,-0.05461620468672644,23.95599999999867
-1.6358852693028796,-6.135940771561991,0.06126352615605078,-0.27058329319813335,-1.0147399266183252,-0.052824407222699835,23.95999999999867
-1.6369675776297177,-6.140001178509323,0.06126352610511924,-0.27057087022089904,-1.015463547047741,-0.05109082600227377,23.963999999998666
-1.6380502414511908,-6.144062925429141,0.06126352605599453,-0.27076104051564953,-1.015409912861652,-0.0494144655811428,23.967999999998668
-1.6391332596721178,-6.1481260125537744,0.06126352600836126,-0.2707480699477936,-1.0161336494549715,-0.04779267100166459,23.97199999999867
-1.6402166311429502,-6.152190438570388,0.06126352596245093,-0.2709376654684279,-1.0160793588518868,-0.0462246825233941,23.975999999998667
-1.6413003562010062,-6.156256203232156,0.06126352591788536,-0.2709248635596039,-1.0168029720324936,-0.04470766370709599,23.979999999998665
-1.6423844349857541,-6.1603233059125015,0.06126352587492612,-0.2711145288143081,-1.0167483681400593,-0.04324088677551091,23.983999999998666
-1.6434688668882709,-6.164391746124815,0.0612635258331735,-0.27110142244409563,-1.0174717380169238,-0.04182141417045102,23.987999999998667
-1.6445536505522607,-6.168461522847423,0.06126352579298021,-0.27129040955080036,-1.0174166232868778,-0.0404489741682355,23.991999999998665
-1.6456387849811378,-6.172532635594363,0.06126352575399577,-0.271276804887789,-1.018139750183305,-0.03912128401499079,23.995999999998663
-1.646724270693076,-6.1766050832777895,0.061263525716414295,-0.27146605108134014,-1.0180840915297795,-0.037837661581383644,23.999999999998664
-1.6478101094889925,-6.180678866116041,0.0612635256799037,-0.271453346876942,-1.0188073275955951,-0.0365956040316626,24.003999999998666
-1.6488963022901286,-6.184753983558217,0.06126352564480015,-0.2716430536910776,-1.0187513934925752,-0.035395090310352845,24.007999999998663
-1.6499828496675601,-6.188830435568937,0.06126352561069423,-0.2716306350246418,-1.0194746118675564,-0.03423369080330363,24.01199999999866
-1.6510697519549704,-6.192908223289146,0.06126352557784966,-0.2718205086805235,-1.0194192482372408,-0.03311101573249681,24.015999999998662
-1.6521570084796935,-6.196987345530154,0.06126352554588932,-0.27180775368102145,-1.0201418722665503,-0.0320245311527868,24.019999999998664
-1.653244618621932,-6.201067801292253,0.06126352551513051,-0.27199731743830596,-1.0200860087831414,-0.03097407963348969,24.02399999999866
